year,indicator,name,category,group,value
2018,satisfied_w_area,5ct,Wealthy,Wealthy,0.9191919191919192
2018,satisfied_w_area,5ct,Suburban,Suburban,0.88
2018,satisfied_w_area,5ct,Rural,Rural,0.8383838383838383
2018,satisfied_w_area,5ct,Urban Periphery,Urban Periphery,0.797979797979798
2018,satisfied_w_area,5ct,Urban Core,Urban Core,0.686868686868687
2018,satisfied_w_area,ansonia,Total,Total,0.8080808080808082
2018,satisfied_w_area,ansonia,Gender,Male,0.8762886597938144
2018,satisfied_w_area,ansonia,Gender,Female,0.75
2018,satisfied_w_area,ansonia,Age,Under age 55,0.7857142857142857
2018,satisfied_w_area,ansonia,Age,Age 55 or older,0.84
2018,satisfied_w_area,ansonia,Education,Some college or less,0.7857142857142857
2018,satisfied_w_area,ansonia,Education,Bachelor's or higher,0.84
2018,satisfied_w_area,ansonia,Income,<$75K,0.76
2018,satisfied_w_area,ansonia,Income,$75K+,0.8247422680412372
2018,satisfied_w_area,bridgeport,Total,Total,0.686868686868687
2018,satisfied_w_area,bridgeport,Gender,Male,0.7
2018,satisfied_w_area,bridgeport,Gender,Female,0.6666666666666667
2018,satisfied_w_area,bridgeport,Age,Ages 18-34,0.75
2018,satisfied_w_area,bridgeport,Age,Ages 35-49,0.5757575757575757
2018,satisfied_w_area,bridgeport,Age,Ages 50-64,0.65
2018,satisfied_w_area,bridgeport,Age,Ages 65+,0.7474747474747475
2018,satisfied_w_area,bridgeport,Education,Bachelor's or higher,0.7272727272727273
2018,satisfied_w_area,bridgeport,Education,High school or less,0.686868686868687
2018,satisfied_w_area,bridgeport,Education,Some college or Associate's,0.6464646464646465
2018,satisfied_w_area,bridgeport,Income,$75K+,0.72
2018,satisfied_w_area,bridgeport,Income,<$30K,0.6969696969696969
2018,satisfied_w_area,bridgeport,Income,$30K-$75K,0.63
2018,satisfied_w_area,bridgeport,Race/Ethnicity,White,0.7216494845360825
2018,satisfied_w_area,bridgeport,Race/Ethnicity,Black,0.64
2018,satisfied_w_area,bridgeport,Race/Ethnicity,Latino,0.6666666666666667
2018,satisfied_w_area,bridgeport,With children,No children,0.6969696969696969
2018,satisfied_w_area,bridgeport,With children,Children in household,0.6666666666666667
2018,satisfied_w_area,bristol,Total,Total,0.7373737373737373
2018,satisfied_w_area,bristol,Gender,Male,0.797979797979798
2018,satisfied_w_area,bristol,Gender,Female,0.6767676767676768
2018,satisfied_w_area,bristol,Age,Under age 55,0.7272727272727273
2018,satisfied_w_area,bristol,Age,Age 55 or older,0.7575757575757576
2018,satisfied_w_area,bristol,Education,Some college or less,0.7676767676767677
2018,satisfied_w_area,bristol,Education,Bachelor's or higher,0.7040816326530612
